ID,Name,ID Country,ID Level 1 Sub Division,ID Level 2 Sub Division,,,,,,,,,,,,,,,,,,,,,
73.0,Springfield ,237.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,
74.0,Columbia   ,237.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,
75.0,Billings,237.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,
76.0,Missoula,237.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,
77.0,Great Falls  ,237.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,
78.0,Omaha,237.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,
79.0,Lincoln   ,237.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,
80.0,Bellevue,237.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,
81.0,Las Vegas,237.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,
82.0,Henderson ,237.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,
83.0,Reno,237.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,
84.0,North Las Vegas,237.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,
85.0,Manchester  ,237.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,
86.0,Nashua  ,237.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,
87.0,Concord ,237.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,
88.0,Newark  ,237.0,30.0,196.0,,,,,,,,,,,,,,,,,,,,,
89.0,Jersey City,237.0,30.0,196.0,,,,,,,,,,,,,,,,,,,,,
90.0,Paterson,237.0,30.0,196.0,,,,,,,,,,,,,,,,,,,,,
91.0,Elizabeth,237.0,30.0,196.0,,,,,,,,,,,,,,,,,,,,,
92.0,Albuquerque,237.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,
93.0,Las Cruces,237.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,
94.0,Santa Fe  ,237.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,
95.0,New York City,237.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,
96.0,Buffalo ,237.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,
97.0,Rochester  ,237.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,
98.0,Yonkers ,237.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,
99.0,Charlotte,237.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,
100.0,Raleigh  ,237.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,
101.0,Greensboro  ,237.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,
102.0,Durham   ,237.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,
103.0,Fargo,237.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,
104.0,Bismarck ,237.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,
105.0,Grand Forks   ,237.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,
106.0,Columbus ,237.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,
107.0,Cleveland  ,237.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,
108.0,Cincinnati      ,237.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,
109.0,Toledo ,237.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,
110.0,Oklahoma City,237.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,
111.0,Tulsa,237.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,
112.0,Norman,237.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,
113.0,Broken Arrow ,237.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,
114.0,Portland ,237.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,
115.0,Salem ,237.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,
116.0,Eugene ,237.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,
117.0,Gresham ,237.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,
118.0,Philadelphia,237.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,
119.0,Pittsburgh,237.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,
120.0,Allentown,237.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,
121.0,Erie ,237.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,
122.0,Providence,237.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,
123.0,Warwick,237.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,
124.0,Cranston,237.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,
125.0,Columbia ,237.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,
126.0,Charleston ,237.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,
127.0,North Charleston,237.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,
128.0,Mount Pleasant  ,237.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,
129.0,Sioux Falls,237.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,
130.0,Rapid City ,237.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,
131.0,Aberdeen,237.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,
132.0,Memphis ,237.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,
133.0,Nashville  ,237.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,
134.0,Knoxville   ,237.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,
135.0,Chattanooga,237.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,
136.0,Houston  ,237.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,
137.0,San Antonio,237.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,
138.0,Dallas ,237.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,
139.0,Austin,237.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,
140.0,Salt Lake City ,237.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,
141.0,West Valley City  ,237.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,
142.0,Provo ,237.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,
143.0,West Jordan ,237.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,
144.0,Burlington  ,237.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,
145.0,South Burlington ,237.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,
146.0,Rutland  ,237.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,
147.0,Virginia Beach   ,237.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,
148.0,Norfolk  ,237.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,
149.0,Chesapeake ,237.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,
150.0,Richmond  ,237.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,
151.0, Seattle ,237.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,
152.0,Spokane,237.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,
153.0,Tacoma  ,237.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,
154.0,West Virginia,237.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,
155.0,Wisconsin,237.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,
156.0,Wyoming,237.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,
157.0,Sydney,14.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,
158.0,Melbourne,14.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,
159.0,Brisbane,14.0,53.0,53.0,,,,,,,,,,,,,,,,,,,,,
160.0,Adelaide,14.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,
161.0,Perth,14.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,
162.0,Hobart,14.0,56.0,56.0,,,,,,,,,,,,,,,,,,,,,
163.0,Darwin,14.0,57.0,57.0,,,,,,,,,,,,,,,,,,,,,
164.0,Canberra,14.0,58.0,58.0,,,,,,,,,,,,,,,,,,,,,
