ID,Name,Short Name,UTC Offset,,,,,,,,,,,,,,,,,,,,,,,
65.0,Eastern Caribbean Time (does not recognise DST),ECT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
66.0,Ecuador Time,ECT,- 5:00,,,,,,,,,,,,,,,,,,,,,,,
67.0,Eastern Daylight Time (North America),EDT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
68.0,Eastern Summer Time (Australia),AEDT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
69.0,Eastern European Summer Time,EEST, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
70.0,Eastern European Time,EET, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
71.0,Eastern Greenland Summer Time,EGST,±00,,,,,,,,,,,,,,,,,,,,,,,
72.0,Eastern Greenland Time,EGT,- 1:00,,,,,,,,,,,,,,,,,,,,,,,
73.0,Eastern Indonesian Time,EIT, + 9:00,,,,,,,,,,,,,,,,,,,,,,,
74.0,Eastern Standard Time (North America),EST,- 5:00,,,,,,,,,,,,,,,,,,,,,,,
75.0,Eastern Standard Time (Australia),AEST, + 10:00,,,,,,,,,,,,,,,,,,,,,,,
76.0,Further-eastern European Time,FET, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
77.0,Fiji Time,FJT, + 12:00,,,,,,,,,,,,,,,,,,,,,,,
78.0,Falkland Islands Summer Time,FKST,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
79.0,Falkland Islands Time,FKT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
80.0,Fernando de Noronha Time,FNT,- 2:00,,,,,,,,,,,,,,,,,,,,,,,
81.0,Galapagos Time,GALT,- 6:00,,,,,,,,,,,,,,,,,,,,,,,
82.0,Gambier Islands,GAMT,- 9:00,,,,,,,,,,,,,,,,,,,,,,,
83.0,Georgia Standard Time,GET, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
84.0,French Guiana Time,GFT,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
85.0,Gilbert Island Time,GILT, + 12:00,,,,,,,,,,,,,,,,,,,,,,,
86.0,Gambier Island Time,GIT,- 9:00,,,,,,,,,,,,,,,,,,,,,,,
87.0,Greenwich Mean Time,GMT,±00,,,,,,,,,,,,,,,,,,,,,,,
88.0,South Georgia and the South Sandwich Islands,GST,- 2:00,,,,,,,,,,,,,,,,,,,,,,,
89.0,Gulf Standard Time,GST, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
90.0,Guyana Time,GYT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
91.0,Hawaii-Aleutian Daylight Time,HADT,- 9:00,,,,,,,,,,,,,,,,,,,,,,,
92.0,Heure Avancée d’Europe Centrale francised name for CEST,HAEC, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
93.0,Hawaii-Aleutian Standard Time,HAST,- 10:00,,,,,,,,,,,,,,,,,,,,,,,
